Year,Neighbourhood,Total,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Whole_Toronto_AV
2016,Kingsview Village-The Westway,1278,"1,142","1,095","1,302","1,489",1240
2016,Kingsway South,**,**,"1,139",**,**,1240
2016,Lambton Baby Point,**,739,978,**,**,1240
2016,L'Amoreaux/Steeles/Milliken,1185,**,"1,060","1,244","1,422",1240
2016,Lansing-Westgate,1358,792,"1,237","1,435","1,578",1240
2016,Lawrence Park North,1417,"1,015","1,248","1,683",**,1240
2016,Lawrence Park South,1469,984,"1,261","1,752",**,1240
2016,Leaside-Bennington,1283,909,"1,138","1,537",**,1240
2016,Little Italy/Trinity-Bellwoods,1339,787,956,"1,479",**,1240
2016,Long Branch,945,747,916,"1,016",**,1240
2016,Malton,1105,**,871,"1,150","1,227",1240
2016,Maple Leaf,1129,710,"1,020","1,192",**,1240
2016,Markham,1228,**,"1,149","1,271","1,362",1240
2016,Meadowvale,1418,**,"1,281","1,448","1,548",1240
2016,Milton/Halton Hills,1123,710,"1,016","1,184","1,528",1240
2016,Mimico,1041,814,982,"1,240","1,564",1240
2016,Mississauga Centre/Streetsville,1305,850,"1,158","1,322","1,579",1240
2016,Moore Park,1657,"1,096","1,458","1,953",**,1240
2016,Morningside,1043,**,948,"1,067","1,279",1240
2016,Moss Park/Regent Park,1146,827,"1,111","1,524","1,885",1240
2016,Mount Dennis,1078,808,999,"1,125",**,1240
2016,Mount Olive-Silverstone-Jamestown/Thistletown,1202,**,"1,015","1,180","1,327",1240
2016,Mount Pleasant East,1348,950,"1,272","1,601","2,048",1240
2016,Mount Pleasant West,1358,"1,056","1,323","1,650","2,210",1240
2016,New Toronto,950,**,886,"1,095",**,1240
2016,North St. James Town,1174,943,"1,129","1,330","1,587",1240
2016,Oakridge,**,**,**,**,**,1240
2016,Oakville (excl. Bronte),1363,981,"1,202","1,393","1,626",1240
2016,Oakwood-Vaughan,1002,779,973,"1,160",**,1240
2016,O'Connor-Parkview,1051,749,945,"1,149","1,391",1240
2016,Old East York,1054,716,981,"1,227",**,1240
2016,Orangeville/Mono,1041,**,967,"1,097","1,110",1240
2016,Parkwoods-Donalda,1262,853,"1,071","1,254","1,479",1240
2016,Playter Estates-Danforth,1189,880,"1,150","1,505",**,1240
2016,Port Credit,1160,910,"1,059","1,219","1,515",1240
2016,Princess-Rosethorn,**,**,**,**,**,1240
2016,Rexdale-Kipling,1035,678,888,"1,029","1,163",1240
2016,Richmond Hill/Vaughan/King,1243,909,"1,134","1,322","1,488",1240
2016,Riverdale,1167,972,"1,164",**,**,1240
2016,Rockcliffe-Smythe,1034,764,918,"1,118","1,222",1240
2016,Roncesvalles,1202,**,"1,156",**,**,1240
2016,Rosedale,1700,**,"1,394","1,859",**,1240
2016,Rouge,1112,**,**,"1,111","1,247",1240
2016,Rustic/Pelmo Park/Humberlea,1067,**,959,"1,092","1,331",1240
2016,Scarborough Village,1077,**,979,"1,077","1,296",1240
2016,South Parkdale/King West,977,804,986,"1,165",**,1240
2016,St. Andrew-Windfields,1373,851,"1,146","1,380","1,732",1240
2016,Stonegate-Queensway,1042,872,983,"1,074",**,1240
2016,Tam O'Shanter-Sullivan,1149,867,"1,041","1,183","1,391",1240
2016,The Beaches,1228,888,"1,152","1,447","1,961",1240
2016,Thorncliffe Park,1231,807,"1,042","1,324","1,694",1240
2016,University/Annex,1473,"1,063","1,340","1,986","2,737",1240
2016,Uxbridge,1143,**,"1,049","1,207",**,1240
2016,Victoria Village,1094,836,"1,009","1,191","1,408",1240
2016,Waterfront Communities -The Island,1981,**,"1,697","2,352",**,1240
2016,West Hill,1068,778,967,"1,064","1,185",1240
2016,West Humber-Clairville,1180,858,981,"1,096",**,1240
2016,Westminster-Branson,1324,883,"1,133","1,353","1,526",1240
2016,Weston,1044,762,968,"1,162",**,1240
2016,Wexford-Maryvale,1069,807,982,"1,170","1,280",1240
2016,Whitchurch/Stouffville,1153,**,"1,112","1,179",**,1240
2016,Willowdale East/Newtonbrook East,1592,**,"1,383","1,714","2,265",1240
2016,Willowdale West/Newtonbrook West,1325,**,"1,204","1,397","1,564",1240
2016,Willowridge-Martingrove-Richview,1449,**,"1,107","1,477","1,652",1240
2016,Woburn,1092,828,985,"1,118","1,239",1240
2016,Woodbine Corridor/Greenwood-Coxwell,**,**,**,**,**,1240
2016,Woodbine-Lumsden,1094,**,"1,019",**,**,1240
2016,Wychwood,1236,**,"1,298",**,**,1240
2016,Yonge-Eglinton,1320,"1,015","1,290","1,616",**,1240
2016,Yonge-St. Clair,1566,"1,030","1,327","1,773",**,1240
2016,Yorkdale-Glen Park,1123,**,"1,019","1,212","1,349",1240
2016,Toronto,1240,957,"1,132","1,326","1,525",1240
2015,Agincourt/Malvern,1300,**,"1,106","1,294","1,522",1208
2015,Ajax/Pickering,1165,**,897,"1,094","1,308",1208
2015,Alderwood,1084,**,916,"1,124",**,1208
2015,Aurora,1215,**,"1,112","1,299",**,1208
2015,Banbury-Don Mills/York Mills,1061,740,"1,005","1,136","1,248",1208
2015,Bathurst Manor,1233,772,"1,104","1,230","1,426",1208
2015,Bay Street Corridor,2067,"1,372","1,730","2,493",**,1208
2015,Bayview Village,1367,**,"1,227","1,447",**,1208
2015,Bayview Woods-Steeles/Hillcrest Village,**,**,**,**,**,1208
2015,Bedford Park-Nortown,1154,864,982,"1,315",**,1208
2015,Beechborough-Greenbrook,944,767,853,"1,059",**,1208
2015,Bendale,1079,769,955,"1,070","1,202",1208
